172	Fol  083r	FL27544924	4015	5410
173	Fol  083v	FL27544941	4015	5410
174	Fol  084r	FL27544959	4015	5410
175	Fol  084v	FL27544973	4015	5410
176	Fol  085r	FL27544988	4015	5410
177	Fol  085v	FL27545007	4015	5410
178	Fol  086r	FL27545017	4015	5410
179	Fol  086v	FL27545037	4015	5410
180	Fol  087r	FL27545057	4015	5410
181	Fol  087v	FL27545078	4015	5410
182	Fol  088r	FL27545088	4015	5410
183	Fol  088v	FL27545111	4015	5410
184	Fol  089r	FL27545127	4015	5410
185	Fol  089v	FL27545139	4015	5410
186	Fol  090r	FL27545155	4015	5410
187	Fol  090v	FL27545175	4015	5410
188	Fol  091r	FL27545194	4015	5410
189	Fol  091v	FL27545204	4015	5410
190	Fol  092r	FL27545226	4015	5410
191	Fol  092v	FL27545243	4015	5410
192	Fol  093r	FL27545258	4015	5410
193	Fol  093v	FL27545272	4015	5410
194	Fol  094r	FL27545288	4015	5410
195	Fol  094v	FL27545303	4015	5410
196	Fol  095r	FL27545318	4015	5410
197	Fol  095v	FL27545336	4015	5410
198	Fol  096r	FL27545351	4015	5410
199	Fol  096v	FL27545366	4015	5410
200	Fol  097r	FL27545384	4015	5410
201	Fol  097v	FL27545400	4015	5410
202	Fol  098r	FL27545422	4015	5410
203	Fol  098v	FL27545444	4015	5410
204	Fol  099r	FL27545464	4015	5410
205	Fol  099v	FL27545485	4015	5410
206	Fol  100r	FL27545497	4015	5410
207	Fol  100v	FL27545513	4015	5410
208	Fol  101r	FL27545530	4015	5410
209	Fol  101v	FL27545534	4015	5410
210	Fol  102r	FL27545538	4015	5410
211	Fol  102v	FL27545551	4015	5410
212	Fol  103r	FL27545582	4015	5410
213	Fol  103v	FL27545598	4015	5410
214	Fol  104r	FL27545619	4015	5410
215	Fol  104v	FL27545637	4015	5410
216	Fol  105r	FL27545659	4015	5410
217	Fol  105v	FL27545681	4015	5410
218	Fol  106r	FL27545703	4015	5410
219	Fol  106v	FL27545721	4015	5410
220	Fol  107r	FL27545739	4015	5410
221	Fol  107v	FL27545762	4015	5410
222	Fol  108r	FL27545778	4015	5410
223	Fol  108v	FL27545795	4015	5410
224	Fol  109r	FL27545816	4015	5410
